epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.04083,1.32833,3.12939,1.70964,0.00759,0.927,0.24849,0.12511,1.29817,3.18113,1.76048,0.00025722,0.00025722,0.00025722
2,15.0245,1.27105,2.50629,1.67134,0.0062,0.88599,0.18044,0.06939,1.62256,3.18631,2.38447,0.000527683,0.000527683,0.000527683
3,20.7774,1.33899,2.10613,1.68714,0.82263,0.05554,0.34035,0.16794,1.62422,2.83454,2.27214,0.000797071,0.000797071,0.000797071
4,26.0778,1.31282,1.90916,1.63962,0.7606,0.2182,0.35164,0.1659,1.8228,2.98644,2.31659,0.00106538,0.00106538,0.00106538
5,31.2808,1.3628,1.77601,1.66641,0.35808,0.01149,0.00755,0.00149,4.03724,4.20973,4.49979,0.00133262,0.00133262,0.00133262
6,36.4993,1.39128,1.80995,1.71619,0.918,0.08333,0.16185,0.09785,2.52867,3.72966,3.1847,0.00141485,0.00141485,0.00141485
7,41.8069,1.40903,1.78215,1.72167,0.00118,0.37667,0.00366,0.001,3.4782,4.94197,3.54081,0.00141202,0.00141202,0.00141202
8,47.1741,1.40001,1.6787,1.70453,0.41441,0.14229,0.05193,0.01828,2.33594,3.33806,2.97035,0.00140919,0.00140919,0.00140919
9,52.5083,1.35404,1.56675,1.66102,0.13501,0.21746,0.10498,0.03919,2.01574,3.999,2.65992,0.00140636,0.00140636,0.00140636
10,57.7623,1.35108,1.55611,1.64833,0.20882,0.24239,0.12645,0.04274,2.15691,3.10107,2.69495,0.00140354,0.00140354,0.00140354
11,63.0008,1.33746,1.4978,1.62431,0.95985,0.16667,0.34362,0.21252,2.01083,3.51637,2.57263,0.00140071,0.00140071,0.00140071
12,68.2426,1.29456,1.38065,1.60939,0.62217,0.37463,0.35911,0.1807,1.99094,2.76608,2.43106,0.00139788,0.00139788,0.00139788
13,73.3914,1.31401,1.33941,1.61771,0.26412,0.44338,0.3173,0.12467,2.06043,2.49375,2.51097,0.00139505,0.00139505,0.00139505
14,78.5185,1.29788,1.33954,1.60713,0.49639,0.42109,0.32485,0.20184,1.78423,2.70646,2.31423,0.00139222,0.00139222,0.00139222
15,83.7997,1.26639,1.28116,1.57442,0.58195,0.42715,0.40981,0.24769,1.77629,2.70926,2.3155,0.00138939,0.00138939,0.00138939
16,89.2485,1.25263,1.25822,1.5635,0.59413,0.53704,0.54341,0.30499,1.96407,2.17794,2.54888,0.00138656,0.00138656,0.00138656
17,94.4289,1.22958,1.19675,1.54943,0.53451,0.60259,0.52766,0.30876,2.0496,2.23257,2.73273,0.00138373,0.00138373,0.00138373
18,99.6407,1.22939,1.19094,1.54599,0.71271,0.34685,0.38688,0.22998,1.88128,2.62617,2.38666,0.0013809,0.0013809,0.0013809
19,104.845,1.23617,1.14462,1.5371,0.70277,0.55297,0.62692,0.32178,1.84565,1.95422,2.31786,0.00137807,0.00137807,0.00137807
20,109.92,1.20839,1.16216,1.51562,0.63565,0.68773,0.64162,0.38503,1.6992,1.85469,2.08286,0.00137524,0.00137524,0.00137524
21,114.986,1.16311,1.11452,1.50246,0.54888,0.6078,0.56318,0.33138,1.75428,1.79497,2.15871,0.00137241,0.00137241,0.00137241
22,120.081,1.16727,1.09443,1.50575,0.76522,0.4244,0.54376,0.34935,1.69093,1.99102,2.22099,0.00136958,0.00136958,0.00136958
23,125.234,1.12596,1.04179,1.48023,0.6903,0.5881,0.6471,0.38765,1.9107,2.04574,2.40975,0.00136675,0.00136675,0.00136675
24,130.353,1.1718,1.04808,1.5148,0.33004,0.38164,0.2802,0.18031,1.66793,3.18634,2.21593,0.00136392,0.00136392,0.00136392
25,135.462,1.17068,1.07581,1.50138,0.46274,0.62767,0.51981,0.31548,1.53452,1.7762,2.01445,0.00136109,0.00136109,0.00136109
26,140.575,1.11001,1.02051,1.46922,0.64718,0.53229,0.49992,0.22055,1.99127,1.66606,2.31608,0.00135826,0.00135826,0.00135826
27,145.694,1.14144,1.00039,1.47443,0.79407,0.58018,0.61944,0.38542,1.62905,1.33176,2.02379,0.00135544,0.00135544,0.00135544
28,150.838,1.14392,1.00887,1.49034,0.81515,0.59186,0.71789,0.40439,1.71387,1.71528,2.11214,0.00135261,0.00135261,0.00135261
29,155.967,1.12871,0.99839,1.47581,0.69108,0.6641,0.74443,0.41434,1.75729,1.29842,2.11706,0.00134978,0.00134978,0.00134978
30,161.181,1.08963,0.97901,1.44112,0.81411,0.57712,0.74961,0.46785,1.58901,1.4286,2.04768,0.00134695,0.00134695,0.00134695
31,166.32,1.08421,0.93359,1.43824,0.79717,0.73816,0.76718,0.44655,1.5128,1.4483,1.9647,0.00134412,0.00134412,0.00134412
32,171.503,1.1437,0.98836,1.48568,0.7842,0.54523,0.60164,0.37102,1.96285,1.75339,2.23815,0.00134129,0.00134129,0.00134129
33,176.649,1.10788,0.94915,1.44799,0.86365,0.45969,0.51874,0.30914,1.52651,1.71599,1.93614,0.00133846,0.00133846,0.00133846
34,181.783,1.10343,0.9479,1.44292,0.76364,0.64273,0.63502,0.42259,1.44386,1.50552,1.84032,0.00133563,0.00133563,0.00133563
35,186.912,1.06082,0.90399,1.43715,0.71566,0.25966,0.29167,0.13603,1.86417,2.17326,2.45602,0.0013328,0.0013328,0.0013328
36,192.044,1.06261,0.91016,1.40367,0.87498,0.6949,0.77461,0.48558,1.49212,1.09464,1.95467,0.00132997,0.00132997,0.00132997
37,197.199,1.04982,0.88583,1.419,0.72551,0.56547,0.62101,0.37217,1.40903,1.28407,1.86778,0.00132714,0.00132714,0.00132714
38,202.413,1.08895,0.92495,1.44127,0.73283,0.68368,0.74931,0.38786,1.88724,1.6355,2.2881,0.00132431,0.00132431,0.00132431
39,207.503,1.04761,0.87911,1.41927,0.67732,0.6961,0.58779,0.34274,1.8036,1.67627,2.3854,0.00132148,0.00132148,0.00132148
40,212.607,1.01378,0.82559,1.39813,0.80269,0.65529,0.764,0.4859,1.47153,1.24795,1.87936,0.00131865,0.00131865,0.00131865
41,217.637,1.04625,0.89416,1.42143,0.8093,0.54693,0.69724,0.43054,1.59683,1.45963,2.062,0.00131582,0.00131582,0.00131582
42,222.708,1.0262,0.82865,1.38527,0.65669,0.57992,0.55795,0.23064,2.07848,1.59924,2.54419,0.00131299,0.00131299,0.00131299
43,227.767,1.05763,0.84535,1.41729,0.926,0.85803,0.92978,0.5386,1.5814,0.98038,1.8914,0.00131016,0.00131016,0.00131016
44,232.857,1.02435,0.81979,1.38064,0.82081,0.67227,0.83117,0.37354,1.89149,1.48072,2.16579,0.00130733,0.00130733,0.00130733
45,237.939,1.00058,0.82674,1.38221,0.86911,0.70263,0.77344,0.5244,1.39643,1.29429,1.82108,0.00130451,0.00130451,0.00130451
46,243.044,0.97045,0.79745,1.3518,0.68216,0.66732,0.66921,0.46417,1.54747,1.4901,2.01725,0.00130168,0.00130168,0.00130168
47,248.099,0.98984,0.80149,1.37489,0.80305,0.75437,0.76698,0.50397,1.51995,1.28643,1.97843,0.00129885,0.00129885,0.00129885
48,253.219,0.98042,0.78171,1.36411,0.63009,0.76817,0.74339,0.45827,1.56626,1.25961,1.93425,0.00129602,0.00129602,0.00129602
49,258.319,0.96839,0.77554,1.34777,0.80364,0.72632,0.76314,0.49175,1.55417,1.1408,1.95623,0.00129319,0.00129319,0.00129319
50,263.464,1.00291,0.80328,1.36298,0.89773,0.75609,0.8008,0.54075,1.36453,1.05704,1.81722,0.00129036,0.00129036,0.00129036
51,268.617,0.96251,0.77814,1.34564,0.81142,0.74705,0.81341,0.57761,1.27484,1.01805,1.69742,0.00128753,0.00128753,0.00128753
52,273.882,0.96993,0.78016,1.33373,0.89225,0.74456,0.80148,0.56591,1.38388,1.14317,1.81551,0.0012847,0.0012847,0.0012847
53,279.07,0.93161,0.75606,1.31453,0.78094,0.7107,0.7552,0.54438,1.3123,1.3464,1.78088,0.00128187,0.00128187,0.00128187
54,284.301,0.94322,0.75467,1.32891,0.8474,0.74631,0.86656,0.53389,1.44677,1.07739,1.90685,0.00127904,0.00127904,0.00127904
55,289.464,0.93419,0.72552,1.31779,0.73819,0.72267,0.74999,0.51152,1.41384,1.33156,1.89533,0.00127621,0.00127621,0.00127621
56,294.655,0.92702,0.72288,1.33144,0.90357,0.75916,0.81814,0.56534,1.25638,1.02837,1.7226,0.00127338,0.00127338,0.00127338
57,299.871,0.90718,0.73206,1.3063,0.80238,0.7699,0.85496,0.55115,1.38583,1.03254,1.87092,0.00127055,0.00127055,0.00127055
58,305.171,0.91748,0.72935,1.28998,0.89861,0.62354,0.76057,0.50434,1.41438,1.33481,1.8547,0.00126772,0.00126772,0.00126772
59,310.394,0.88928,0.70842,1.28944,0.86722,0.79938,0.83892,0.60731,1.30392,0.93035,1.76597,0.00126489,0.00126489,0.00126489
60,315.638,0.93941,0.72669,1.33836,0.83461,0.84477,0.90078,0.62904,1.31832,0.97914,1.69269,0.00126206,0.00126206,0.00126206
61,320.863,0.93676,0.74235,1.32878,0.88452,0.71929,0.90065,0.58807,1.32389,0.80843,1.72067,0.00125923,0.00125923,0.00125923
62,326.167,0.91346,0.68948,1.29517,0.86999,0.7856,0.83618,0.57854,1.30177,0.89139,1.69081,0.00125641,0.00125641,0.00125641
63,331.435,0.91138,0.72787,1.30701,0.68652,0.61999,0.71585,0.52006,1.3223,1.61009,1.73672,0.00125358,0.00125358,0.00125358
64,336.679,0.91656,0.68953,1.3182,0.90611,0.71407,0.79549,0.53204,1.48989,1.1343,1.91535,0.00125075,0.00125075,0.00125075
65,341.877,0.93425,0.75249,1.32718,0.85822,0.79321,0.82836,0.57219,1.42929,0.99673,1.87764,0.00124792,0.00124792,0.00124792
66,347.091,0.89571,0.68365,1.29824,0.90388,0.74167,0.81719,0.56341,1.38223,1.08563,1.86099,0.00124509,0.00124509,0.00124509
67,352.335,0.8665,0.69797,1.27758,0.84921,0.8054,0.84637,0.5711,1.4565,1.01847,1.88062,0.00124226,0.00124226,0.00124226
68,357.616,0.87003,0.68067,1.28021,0.80995,0.68892,0.79681,0.52357,1.39015,1.17537,1.83623,0.00123943,0.00123943,0.00123943
69,362.813,0.87681,0.66133,1.27975,0.91427,0.81353,0.87473,0.59641,1.21472,0.8431,1.64119,0.0012366,0.0012366,0.0012366
70,367.998,0.8792,0.67597,1.28412,0.75601,0.82564,0.83981,0.59921,1.22869,0.9082,1.65807,0.00123377,0.00123377,0.00123377
71,373.174,0.88756,0.6804,1.30729,0.79792,0.60377,0.72551,0.51092,1.38158,1.19867,1.84517,0.00123094,0.00123094,0.00123094
72,378.364,0.86327,0.65689,1.2678,0.70112,0.79456,0.7781,0.54751,1.32436,1.06359,1.89211,0.00122811,0.00122811,0.00122811
73,383.579,0.86006,0.67277,1.26882,0.52618,0.69295,0.62301,0.40249,1.44534,1.47754,1.82564,0.00122528,0.00122528,0.00122528
74,388.787,0.86112,0.67738,1.26442,0.85421,0.72452,0.80316,0.54025,1.40006,1.07572,1.83318,0.00122245,0.00122245,0.00122245
75,393.901,0.83939,0.66655,1.27747,0.77771,0.63865,0.76908,0.55984,1.28971,1.29695,1.75349,0.00121962,0.00121962,0.00121962
76,399.108,0.84016,0.63515,1.25772,0.77002,0.66145,0.67556,0.44785,1.23289,1.11484,1.66935,0.00121679,0.00121679,0.00121679
77,404.196,0.86791,0.62341,1.26797,0.52198,0.53143,0.53293,0.30756,1.7466,1.74477,2.43298,0.00121396,0.00121396,0.00121396
78,409.323,0.8535,0.66363,1.26535,0.8586,0.75056,0.8597,0.60298,1.2469,1.04713,1.74192,0.00121113,0.00121113,0.00121113
