epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,290.849,0.98144,0.82293,1.37084,0.89058,0.6428,0.75257,0.48833,1.44076,1.10243,1.90338,0.00131299,0.00131299,0.00131299
43,298.287,0.978,0.75902,1.3613,0.79429,0.59382,0.68041,0.37949,1.7853,1.25766,2.31393,0.00131016,0.00131016,0.00131016
44,304.296,0.98954,0.84062,1.40491,0.73888,0.75761,0.81335,0.58498,1.21917,0.93772,1.66408,0.00130733,0.00130733,0.00130733
45,310.32,0.91721,0.76209,1.31249,0.85831,0.7648,0.84695,0.58806,1.40052,0.97015,1.8435,0.00130451,0.00130451,0.00130451
46,316.36,0.95521,0.77083,1.35367,0.8036,0.81189,0.84062,0.57402,1.34877,0.9187,1.72544,0.00130168,0.00130168,0.00130168
47,322.474,0.96696,0.78146,1.34963,0.80144,0.63396,0.75239,0.46165,1.59185,1.0004,1.9674,0.00129885,0.00129885,0.00129885
48,328.439,0.9507,0.76247,1.33611,0.78337,0.81713,0.90303,0.58996,1.37159,1.10661,1.72625,0.00129602,0.00129602,0.00129602
49,334.539,0.94042,0.74436,1.32497,0.7692,0.74111,0.7576,0.52919,1.40866,1.33248,1.93026,0.00129319,0.00129319,0.00129319
50,340.576,0.89445,0.73437,1.30662,0.75154,0.74767,0.77825,0.53298,1.35052,1.12563,1.8563,0.00129036,0.00129036,0.00129036
51,346.604,0.93746,0.73515,1.34779,0.84426,0.7035,0.78028,0.5379,1.38957,1.08054,1.88194,0.00128753,0.00128753,0.00128753
52,352.371,0.9358,0.73316,1.31639,0.72768,0.76165,0.78032,0.44541,1.62929,1.10818,2.02208,0.0012847,0.0012847,0.0012847
53,358.174,0.9113,0.74116,1.31914,0.88913,0.78091,0.84615,0.59282,1.19878,0.91867,1.67194,0.00128187,0.00128187,0.00128187
54,363.969,0.93754,0.7716,1.34376,0.8883,0.78877,0.8539,0.60609,1.24462,0.83156,1.66142,0.00127904,0.00127904,0.00127904
55,370.539,0.87665,0.71472,1.30191,0.86065,0.78405,0.86468,0.57604,1.24534,1.01487,1.69072,0.00127621,0.00127621,0.00127621
56,376.183,0.87414,0.69113,1.28908,0.89089,0.76349,0.82784,0.56546,1.34545,0.97293,1.82133,0.00127338,0.00127338,0.00127338
57,381.974,0.9007,0.71365,1.31435,0.81696,0.77754,0.86859,0.58124,1.30055,0.87629,1.7475,0.00127055,0.00127055,0.00127055
58,387.805,0.90216,0.74156,1.30756,0.86843,0.78401,0.84392,0.5644,1.36881,0.96188,1.80124,0.00126772,0.00126772,0.00126772
59,393.678,0.87514,0.70876,1.28079,0.87485,0.66807,0.7997,0.56929,1.40471,0.99366,1.85411,0.00126489,0.00126489,0.00126489
60,399.566,0.90146,0.7256,1.31069,0.85268,0.75554,0.81556,0.59101,1.34472,1.04705,1.78059,0.00126206,0.00126206,0.00126206
61,405.4,0.90343,0.74097,1.30777,0.85576,0.73057,0.81597,0.53966,1.36143,1.02885,1.81596,0.00125923,0.00125923,0.00125923
62,411.213,0.89195,0.71402,1.28623,0.77955,0.7157,0.80451,0.54285,1.38594,1.05671,1.83919,0.00125641,0.00125641,0.00125641
63,417.094,0.89628,0.67239,1.29304,0.77365,0.7359,0.84056,0.57851,1.39145,1.32019,1.87563,0.00125358,0.00125358,0.00125358
64,422.951,0.88406,0.66092,1.28668,0.85042,0.76972,0.84629,0.59206,1.25054,0.92738,1.71305,0.00125075,0.00125075,0.00125075
65,428.88,0.8772,0.65333,1.27924,0.72645,0.75788,0.75703,0.50477,1.35076,1.06435,1.80845,0.00124792,0.00124792,0.00124792
66,434.786,0.86008,0.68355,1.28173,0.90231,0.70162,0.80676,0.51237,1.48914,1.16071,1.9853,0.00124509,0.00124509,0.00124509
67,440.724,0.87211,0.69305,1.29113,0.85164,0.80451,0.83553,0.58695,1.31933,1.00261,1.80995,0.00124226,0.00124226,0.00124226
68,446.73,0.84889,0.67046,1.26441,0.93947,0.71302,0.85834,0.6131,1.3065,0.83932,1.74476,0.00123943,0.00123943,0.00123943
69,452.679,0.83726,0.66213,1.26383,0.8979,0.75262,0.82144,0.51345,1.46184,1.18174,1.93315,0.0012366,0.0012366,0.0012366
70,458.608,0.85841,0.68712,1.27856,0.88567,0.73051,0.81337,0.54801,1.21224,0.92541,1.6266,0.00123377,0.00123377,0.00123377
71,464.449,0.84464,0.6776,1.25528,0.91125,0.74027,0.86067,0.60739,1.41816,1.03594,1.88712,0.00123094,0.00123094,0.00123094
72,470.296,0.81853,0.65707,1.25107,0.8286,0.63272,0.73091,0.51694,1.428,1.29127,1.95547,0.00122811,0.00122811,0.00122811
73,476.324,0.81223,0.62547,1.23806,0.81903,0.83898,0.8477,0.60544,1.21082,0.85186,1.62459,0.00122528,0.00122528,0.00122528
74,482.236,0.84471,0.64534,1.27403,0.89869,0.78417,0.84005,0.63556,1.11748,0.84106,1.53845,0.00122245,0.00122245,0.00122245
75,488.158,0.82267,0.64384,1.24659,0.89481,0.82083,0.84052,0.62996,1.20097,0.83539,1.69284,0.00121962,0.00121962,0.00121962
76,494.095,0.84025,0.65141,1.27351,0.89866,0.74725,0.82039,0.56772,1.15939,1.00995,1.61481,0.00121679,0.00121679,0.00121679
77,499.956,0.84094,0.64875,1.27906,0.847,0.8301,0.84373,0.59275,1.37032,0.8941,1.76407,0.00121396,0.00121396,0.00121396
78,505.793,0.81152,0.60599,1.22169,0.90989,0.80309,0.86489,0.6412,1.20861,0.7982,1.62717,0.00121113,0.00121113,0.00121113
79,511.696,0.78942,0.60811,1.23044,0.83361,0.81256,0.86347,0.58951,1.34561,0.85431,1.7943,0.00120831,0.00120831,0.00120831
80,517.523,0.83727,0.64386,1.24922,0.88856,0.78417,0.84913,0.60654,1.21497,0.8383,1.6939,0.00120548,0.00120548,0.00120548
81,523.335,0.82019,0.63077,1.23938,0.95284,0.75419,0.82979,0.61911,1.16503,0.85604,1.62734,0.00120265,0.00120265,0.00120265
82,529.225,0.80673,0.61989,1.24782,0.81791,0.78769,0.81693,0.57213,1.29401,0.95296,1.74311,0.00119982,0.00119982,0.00119982
83,535.072,0.81987,0.61956,1.23855,0.86455,0.66527,0.80142,0.52075,1.36831,0.93068,1.84062,0.00119699,0.00119699,0.00119699
84,540.717,0.8199,0.60497,1.24177,0.87775,0.72325,0.80616,0.57339,1.34041,1.03259,1.81133,0.00119416,0.00119416,0.00119416
85,546.481,0.81832,0.60411,1.25013,0.86862,0.76642,0.84985,0.59475,1.32355,0.88295,1.74417,0.00119133,0.00119133,0.00119133
86,552.189,0.77448,0.58184,1.20674,0.7034,0.78659,0.81482,0.59628,1.33003,1.01871,1.72015,0.0011885,0.0011885,0.0011885
87,557.953,0.80032,0.60338,1.23617,0.80276,0.77066,0.81833,0.55859,1.39287,1.03033,1.88675,0.00118567,0.00118567,0.00118567
88,563.687,0.8139,0.60866,1.23779,0.87204,0.72387,0.81297,0.5231,1.37749,1.08919,1.90141,0.00118284,0.00118284,0.00118284
89,569.566,0.77759,0.59174,1.21359,0.82059,0.78464,0.80895,0.55718,1.2343,0.86116,1.68191,0.00118001,0.00118001,0.00118001
90,575.448,0.79575,0.59716,1.22358,0.91191,0.80247,0.83022,0.58884,1.20909,0.8818,1.68241,0.00117718,0.00117718,0.00117718
91,581.128,0.77131,0.59568,1.22037,0.94753,0.75904,0.85992,0.60396,1.22332,0.80124,1.70819,0.00117435,0.00117435,0.00117435
92,586.806,0.74912,0.5784,1.2025,0.93287,0.77551,0.8435,0.62379,1.21332,0.87219,1.68798,0.00117152,0.00117152,0.00117152
93,592.499,0.78795,0.61366,1.22836,0.87155,0.81088,0.85048,0.62444,1.23717,0.82085,1.70678,0.00116869,0.00116869,0.00116869
94,598.142,0.77498,0.57814,1.21652,0.87526,0.72949,0.84864,0.60042,1.17149,0.73621,1.64231,0.00116586,0.00116586,0.00116586
95,603.917,0.76195,0.57025,1.20302,0.8503,0.77586,0.84482,0.58309,1.29572,0.84514,1.79716,0.00116303,0.00116303,0.00116303
96,609.792,0.75905,0.58408,1.20385,0.85918,0.8102,0.86447,0.6103,1.26671,0.73502,1.78717,0.00116021,0.00116021,0.00116021
97,615.826,0.78708,0.5935,1.22461,0.90846,0.75916,0.85864,0.56111,1.32734,0.92139,1.83943,0.00115738,0.00115738,0.00115738
98,621.814,0.77958,0.59095,1.21961,0.85373,0.80561,0.83919,0.59855,1.16882,0.9429,1.62771,0.00115455,0.00115455,0.00115455
99,627.675,0.76643,0.57256,1.21718,0.94868,0.77753,0.86231,0.62516,1.21935,0.75521,1.6378,0.00115172,0.00115172,0.00115172
100,633.526,0.73634,0.55688,1.17834,0.80714,0.84863,0.85717,0.58876,1.15606,0.72069,1.60736,0.00114889,0.00114889,0.00114889
101,639.457,0.73655,0.55222,1.19073,0.91159,0.80463,0.8482,0.59917,1.27765,0.85384,1.76505,0.00114606,0.00114606,0.00114606
102,645.363,0.76122,0.56522,1.21161,0.90631,0.78561,0.84089,0.64839,1.14998,0.81933,1.54285,0.00114323,0.00114323,0.00114323
103,651.358,0.72527,0.55417,1.18637,0.93134,0.75916,0.82142,0.60289,1.23614,0.91255,1.65401,0.0011404,0.0011404,0.0011404
104,657.158,0.76272,0.58208,1.20431,0.88352,0.77136,0.80979,0.56851,1.23744,0.87978,1.67767,0.00113757,0.00113757,0.00113757
105,662.934,0.73844,0.55231,1.19055,0.83031,0.67407,0.77908,0.52501,1.27292,1.02569,1.75141,0.00113474,0.00113474,0.00113474
106,670.157,0.77543,0.59076,1.22002,0.71591,0.85112,0.84355,0.59949,1.26259,0.76885,1.78288,0.00113191,0.00113191,0.00113191
107,675.82,0.72143,0.56109,1.17031,0.86524,0.74962,0.82361,0.63303,1.18004,0.82224,1.61619,0.00112908,0.00112908,0.00112908
108,681.341,0.72882,0.56021,1.19167,0.94086,0.78712,0.84296,0.62801,1.22583,0.83944,1.7411,0.00112625,0.00112625,0.00112625
109,686.899,0.7503,0.57607,1.20619,0.93834,0.79365,0.8362,0.57747,1.22744,0.79132,1.71057,0.00112342,0.00112342,0.00112342
110,692.437,0.74386,0.54238,1.18241,0.86662,0.82813,0.85256,0.59148,1.18004,0.84343,1.66922,0.00112059,0.00112059,0.00112059
111,698.01,0.72001,0.55535,1.17999,0.87907,0.73641,0.83299,0.62522,1.20482,0.869,1.67814,0.00111776,0.00111776,0.00111776
112,703.648,0.69524,0.5179,1.16417,0.82982,0.7844,0.80068,0.60787,1.2035,0.86773,1.69951,0.00111493,0.00111493,0.00111493
113,709.222,0.72237,0.51014,1.16795,0.95433,0.71998,0.83825,0.64149,1.10585,0.84984,1.57344,0.0011121,0.0011121,0.0011121
114,714.778,0.71791,0.53839,1.15468,0.88212,0.79598,0.84512,0.59553,1.23438,0.72323,1.71761,0.00110928,0.00110928,0.00110928
115,720.45,0.70783,0.51563,1.15164,0.97819,0.78463,0.86051,0.60919,1.21091,0.78306,1.63885,0.00110645,0.00110645,0.00110645
